check_id,check_title,target,target_text,rationale,reviewed_by,reviewed_at
okta.mfa_enrollment_policy,MFA enrollment policy is configured,IAC-06_A01,,draft - IdP MFA enrollment policy,,
okta.mfa_enrollment_policy,MFA enrollment policy is configured,IAC-06,,draft - IdP MFA enrollment policy,,
github.org_2fa_required,Organizations require two-factor authentication,IAC-06.2_A01,,draft - SCM org 2FA,,
github.org_2fa_required,Organizations require two-factor authentication,IAC-06,,draft - SCM org 2FA,,
github.members_all_have_2fa,No organization members without two-factor authentication,IAC-06.2_A01,,draft - SCM members without 2FA,,
github.members_all_have_2fa,No organization members without two-factor authentication,IAC-06,,draft - SCM members without 2FA,,
aws.root_mfa,Root account has MFA enabled,IAC-06_A01,,draft - AWS root MFA,,
aws.root_mfa,Root account has MFA enabled,IAC-06.1_A02,,draft - AWS root MFA,,
aws.iam_mfa,IAM console users have MFA enrolled,IAC-06_A01,,draft - AWS IAM console MFA sweep,,
aws.iam_mfa,IAM console users have MFA enrolled,IAC-06.1_A02,,draft - AWS IAM console MFA sweep,,
aws.iam_user_mfa,Console user has MFA device enrolled,IAC-06_A01,,draft - per-user AWS console MFA,,
aws.iam_user_mfa,Console user has MFA device enrolled,IAC-06,,draft - per-user AWS console MFA,,
gitlab.groups_enforce_2fa,Groups enforce two-factor authentication,IAC-06.2_A01,,draft - GitLab group 2FA enforce,,
gitlab.groups_enforce_2fa,Groups enforce two-factor authentication,IAC-06,,draft - GitLab group 2FA enforce,,
microsoft_365.mfa_registered,All users are registered for multi-factor authentication,IAC-06_A01,,draft - Entra MFA registration (all users),,
microsoft_365.mfa_registered,All users are registered for multi-factor authentication,IAC-06,,draft - Entra MFA registration (all users),,
microsoft_365.admin_mfa_registered,All admin (privileged) accounts are registered for MFA,IAC-06_A01,,draft - privileged Entra MFA registration,,
microsoft_365.admin_mfa_registered,All admin (privileged) accounts are registered for MFA,IAC-06.1_A02,,draft - privileged Entra MFA registration,,
clerk.users.mfa_enabled,All users have two-factor authentication enabled,IAC-06_A01,,draft - Clerk user 2FA,,
clerk.users.mfa_enabled,All users have two-factor authentication enabled,IAC-06,,draft - Clerk user 2FA,,
cloudflare.member_2fa_enabled,Two-factor authentication enabled for all account members,IAC-06_A01,,draft - Cloudflare account member 2FA,,
cloudflare.member_2fa_enabled,Two-factor authentication enabled for all account members,IAC-06,,draft - Cloudflare account member 2FA,,
heroku.account_mfa_enabled,Heroku account has multi-factor authentication enabled,IAC-06_A01,,draft - Heroku account MFA,,
heroku.account_mfa_enabled,Heroku account has multi-factor authentication enabled,IAC-06,,draft - Heroku account MFA,,
heroku.team_members_mfa,All team members have two-factor authentication enabled,IAC-06_A01,,draft - Heroku team member MFA,,
heroku.team_members_mfa,All team members have two-factor authentication enabled,IAC-06,,draft - Heroku team member MFA,,
sentry.org_require_2fa,Organizations enforce two-factor authentication,IAC-06.2_A01,,draft - Sentry org require 2FA,,
sentry.org_require_2fa,Organizations enforce two-factor authentication,IAC-06,,draft - Sentry org require 2FA,,
sentry.member_2fa_enabled,Organization members have 2FA enabled,IAC-06_A01,,draft - Sentry member 2FA,,
sentry.member_2fa_enabled,Organization members have 2FA enabled,IAC-06,,draft - Sentry member 2FA,,
posthog.org-enforce-2fa,Organization enforces two-factor authentication for all members,IAC-06.2_A01,,draft - PostHog org enforce 2FA,,
posthog.org-enforce-2fa,Organization enforces two-factor authentication for all members,IAC-06,,draft - PostHog org enforce 2FA,,
posthog.members-2fa-enabled,All organization members have two-factor authentication enabled,IAC-06_A01,,draft - PostHog members 2FA,,
posthog.members-2fa-enabled,All organization members have two-factor authentication enabled,IAC-06,,draft - PostHog members 2FA,,
slack.users_mfa,All workspace members have two-factor authentication enabled,IAC-06_A01,,draft - Slack workspace MFA,,
slack.users_mfa,All workspace members have two-factor authentication enabled,IAC-06,,draft - Slack workspace MFA,,
zendesk.staff_2fa_enabled,All agents and admins have two-factor authentication enabled,IAC-06_A01,,draft - Zendesk agent/admin 2FA,,
zendesk.staff_2fa_enabled,All agents and admins have two-factor authentication enabled,IAC-06,,draft - Zendesk agent/admin 2FA,,
jumpcloud.users_mfa,All active users have MFA configured,IAC-06_A01,,draft - JumpCloud user MFA,,
jumpcloud.users_mfa,All active users have MFA configured,IAC-06,,draft - JumpCloud user MFA,,
onelogin.mfa_factors_enrolled,MFA authentication factors are enrolled for users,IAC-06_A01,,draft - OneLogin MFA factors enrolled,,
onelogin.mfa_factors_enrolled,MFA authentication factors are enrolled for users,IAC-06,,draft - OneLogin MFA factors enrolled,,
sentinelone.console-mfa,All SentinelOne console users have 2FA enabled,IAC-06_A01,,draft - SentinelOne console 2FA,,
sentinelone.console-mfa,All SentinelOne console users have 2FA enabled,IAC-06,,draft - SentinelOne console 2FA,,
